plan.name,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Non-COVID.Funded through this plan,Non-COVID.Unmet requirements,Non-COVID.Total requirements
COVID-19 Global Humanitarian Response Plan,3736368292,5764917694,9501285986,0,0,0
Djibouti,4953591,25029825,29983416,3698247,10553649,14251896
Lebanon,98974694,37525306,136500000,165144211,31464931,196609142
Lesotho,0,0,0,13733857,20011143,33745000
Afghanistan,181420975,214268200,395689175,375330137,360031508,735361645
Burkina Faso,50949036,54981450,105930486,203093881,115333494,318427375
Burundi,12197685,59247315,71445000,75521656,50926344,126448000
Cameroon,54070727,27660401,81731128,116095780,193093216,309188996
CAR,77863349,74948941,152812290,286282104,114527896,400810000
Chad,58581068,65602489,124183557,229106020,311351583,540457603
Colombia,36179928,247740719,283920647,26918849,182781151,209700000
DRC,115938287,158559388,274497675,693615319,1101021826,1794637145
Ethiopia,94115089,238576453,332691542,628776712,289335868,918112580
Haiti,27706752,116672681,144379433,128030668,199582934,327613602
Iraq,105577802,159208920,264786722,548729921,0,548729921
Libya,39133380,7523917,46657297,76510040,6678668,83188708
Mali,45683290,29727644,75410934,180328186,218553060,398881246
Myanmar,40937631,17862369,58800000,145826929,70673071,216500000
Niger,68076528,14241507,82318035,244308156,189448766,433756922
Nigeria,66057994,176390272,242448266,489385948,348612399,837998347
oPt,63305704,9099906,72405610,198461400,149514674,347976074
Somalia,86609320,138995346,225604666,740519079,43802782,784321861
South Sudan,106753770,276274224,383027994,1014114402,503657568,1517771970
Sudan,106054111,177492214,283546325,768449045,581407759,1349856804
Syria,183938678,200216262,384154940,1947493365,1485884527,3433377892
Ukraine,38913921,7987388,46901309,84969108,72782817,157751925
Venezuela,44717967,43166698,87884665,118197551,556427147,674624698
Yemen,266692433,118989270,385681703,1638616334,1358383666,2.997e+09
Zimbabwe,34384600,50609729,84994329,178824092,536952512,715776604
Bangladesh,118656022,268710312,387366334,558026663,318634559,876661222
Benin,3346554,14583446,17930000,0,0,0
Cabo Delgado Province Mozambique,0,0,0,45603088,0,45603088
Congo,1679525,10309599,11989124,0,0,0
DPR Korea,3501684,36190478,39692162,0,0,0
DPRK,0,0,0,29689926,77310074,1.07e+08
Ecuador,19852674,26572326,46425000,0,0,0
Iran,73683852,43600829,117284681,0,0,0
Jordan,18604280,34241451,52845731,0,0,0
Kenya,62219978,192650706,254870684,0,0,0
Liberia,7507918,49492082,5.7e+07,0,0,0
Mozambique,60046064,8058936,68105000,0,0,0
Pakistan,88488297,57300581,145788878,0,0,0
Philippines,20562507,101204837,121767344,0,0,0
Sierra Leone,20093035,42814690,62907725,0,0,0
Tanzania,19017877,139856228,158874105,0,0,0
Togo,5190103,14567431,19757534,0,0,0
Uganda,27639808,172517319,200157127,0,0,0
Zambia,13196362,112416566,125612928,27969390,61567629,89537019
Burundi Regional,7521464,57909281,65430745,39224662,162932075,202156737
DRC Regional,12131905,143539715,155671620,28568630,403147687,431716317
Horn of Africa and Yemen ,250000,31272013,31522013,14615390,0,14615390
South Sudan Regional,21908345,106879037,128787382,81500952,811990402,893491354
Syria Regional,93489871,664815267,758305138,2132625984,3105044638,5237670622
Venezuela Regional,92864746,345942841,438807587,568993113,399779467,968772580
